k = 1115, lf = 11.12, rf = 10.12, l = 12 <=> r = 11
k = 1116, lf = 11.12, rf = 10.12, l = 12 <=> r = 11
k = 1117, lf = 11.12, rf = 10.13, l = 12 <=> r = 11
k = 1118, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
k = 1119, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
k = 1120, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
k = 1121, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
k = 1122, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
k = 1123, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
k = 1124, lf = 11.13, rf = 10.13, l = 12 <=> r = 11
