n =  4, m = 12, t1f =  0.33, t1 =  1 <=> t2 =  1, t2f =  1.25
n =  4, m = 13, t1f =  0.31, t1 =  1 <=> t2 =  1, t2f =  1.23
n =  4, m = 14, t1f =  0.29, t1 =  1 <=> t2 =  1, t2f =  1.21
n =  4, m = 15, t1f =  0.27, t1 =  1 <=> t2 =  1, t2f =  1.20
n =  4, m = 16, t1f =  0.25, t1 =  1 <=> t2 =  1, t2f =  1.19
n =  4, m = 17, t1f =  0.24, t1 =  1 <=> t2 =  1, t2f =  1.18
n =  4, m = 18, t1f =  0.22, t1 =  1 <=> t2 =  1, t2f =  1.17
n =  4, m = 19, t1f =  0.21, t1 =  1 <=> t2 =  1, t2f =  1.16
n =  4, m = 20, t1f =  0.20, t1 =  1 <=> t2 =  1, t2f =  1.15
n =  5, m =  1, t1f =  5.00, t1 =  5 <=> t2 =  5, t2f =  5.00
n =  5, m =  2, t1f =  2.50, t1 =  3 <=> t2 =  3, t2f =  3.00
n =  5, m =  3, t1f =  1.67, t1 =  2 <=> t2 =  2, t2f =  2.33
n =  5, m =  4, t1f =  1.25, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  5, m =  5, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.80
n =  5, m =  6, t1f =  0.83, t1 =  1 <=> t2 =  1, t2f =  1.67
n =  5, m =  7, t1f =  0.71, t1 =  1 <=> t2 =  1, t2f =  1.57
n =  5, m =  8, t1f =  0.62, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  5, m =  9, t1f =  0.56, t1 =  1 <=> t2 =  1, t2f =  1.44
n =  5, m = 10, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.40
n =  5, m = 11, t1f =  0.45, t1 =  1 <=> t2 =  1, t2f =  1.36
n =  5, m = 12, t1f =  0.42, t1 =  1 <=> t2 =  1, t2f =  1.33
n =  5, m = 13, t1f =  0.38, t1 =  1 <=> t2 =  1, t2f =  1.31
n =  5, m = 14, t1f =  0.36, t1 =  1 <=> t2 =  1, t2f =  1.29
n =  5, m = 15, t1f =  0.33, t1 =  1 <=> t2 =  1, t2f =  1.27
n =  5, m = 16, t1f =  0.31, t1 =  1 <=> t2 =  1, t2f =  1.25
n =  5, m = 17, t1f =  0.29, t1 =  1 <=> t2 =  1, t2f =  1.24
n =  5, m = 18, t1f =  0.28, t1 =  1 <=> t2 =  1, t2f =  1.22
n =  5, m = 19, t1f =  0.26, t1 =  1 <=> t2 =  1, t2f =  1.21
n =  5, m = 20, t1f =  0.25, t1 =  1 <=> t2 =  1, t2f =  1.20
n =  6, m =  1, t1f =  6.00, t1 =  6 <=> t2 =  6, t2f =  6.00
n =  6, m =  2, t1f =  3.00, t1 =  3 <=> t2 =  3, t2f =  3.50
n =  6, m =  3, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.67
n =  6, m =  4, t1f =  1.50, t1 =  2 <=> t2 =  2, t2f =  2.25
n =  6, m =  5, t1f =  1.20, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  6, m =  6, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.83
n =  6, m =  7, t1f =  0.86, t1 =  1 <=> t2 =  1, t2f =  1.71
n =  6, m =  8, t1f =  0.75, t1 =  1 <=> t2 =  1, t2f =  1.62
n =  6, m =  9, t1f =  0.67, t1 =  1 <=> t2 =  1, t2f =  1.56
n =  6, m = 10, t1f =  0.60, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  6, m = 11, t1f =  0.55, t1 =  1 <=> t2 =  1, t2f =  1.45
n =  6, m = 12, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.42
n =  6, m = 13, t1f =  0.46, t1 =  1 <=> t2 =  1, t2f =  1.38
